week,date,day,shift,slot,company,tier,company_id
2,2026-07-14,الثلاثاء,الفترة المسائية,8,تيبكال ميديكال,B,62f8a37b-a5cb-404d-b24e-d5f9481ac1a0
2,2026-07-15,الأربعاء,الفترة الصباحية,1,الشركة الدوائية - التخصصية,A,2fb27e9d-b6d2-49d2-b332-10ea7ce158b8
2,2026-07-15,الأربعاء,الفترة الصباحية,2,اي في فارما للأدوية,B,52e0aa31-b2fd-4515-b953-a524318799d2
2,2026-07-15,الأربعاء,الفترة الصباحية,3,محدب ميديكال,B,6f335236-b5f8-410e-93a4-33b6db6049e8
2,2026-07-15,الأربعاء,الفترة الصباحية,4,شمس الجزيرة للأدوية,B,2bbc10ad-5d64-44be-bc89-330be06df0a0
2,2026-07-15,الأربعاء,الفترة الصباحية,5,المفضل فارما - نيو فارما,A,da294ccd-3e4d-402c-ac93-d0de5282c30b
2,2026-07-15,الأربعاء,الفترة الصباحية,6,الثقة فارما,A,14706375-38ab-4d39-bd76-6cafee51a49e
2,2026-07-15,الأربعاء,الفترة الصباحية,7,ميد واي للأدوية,B,652c8397-64ef-4b29-8b15-54884ef58873
2,2026-07-15,الأربعاء,الفترة المسائية,1,است برو هيلت,A,b8862cb5-0619-4c73-93e0-46941439169e
2,2026-07-15,الأربعاء,الفترة المسائية,2,شركة الفتح - قسم الأدوية,B,6a7a9ea8-a931-4106-8831-6e260a0efa10
2,2026-07-15,الأربعاء,الفترة المسائية,3,محمد الجوهري,B,78eb75fb-3467-4585-9032-3679ff8160d1
2,2026-07-15,الأربعاء,الفترة المسائية,4,شركة سوكر للأدوية,B,6d44b3c1-5d14-48a5-bda8-746fa2b54ee1
2,2026-07-15,الأربعاء,الفترة المسائية,5,التخصصية فارما,A,efdc3ace-c6ef-45d1-9ea7-47925b7c3d91
2,2026-07-15,الأربعاء,الفترة المسائية,6,الشركة العربية للأدوية,A,3cc28b9f-211e-4959-83e2-d245ac57d400
2,2026-07-15,الأربعاء,الفترة المسائية,7,الدواء ميديكال,A,9f61c185-4691-4101-bb4b-7670ebc1192a
3,2026-07-18,السبت,الفترة الصباحية,1,صيدلية الهلال 1,A,bc497db6-c5ae-4a47-b8b6-880e570712da
3,2026-07-18,السبت,الفترة الصباحية,2,محمد الجوهري,B,78eb75fb-3467-4585-9032-3679ff8160d1
3,2026-07-18,السبت,الفترة الصباحية,3,توكيلات اليمامة للأدوية,B,95c4f8a9-eea0-4679-a517-526803c08ac4
3,2026-07-18,السبت,الفترة الصباحية,4,الدهيلي للأدوية,A,60cd7a9c-bd5e-4096-b4a3-d54a630102bb
3,2026-07-18,السبت,الفترة الصباحية,5,شركة أرض الجنتين - الأوربية,B,eae0c11c-158f-421e-b102-4060153802e6
3,2026-07-18,السبت,الفترة الصباحية,6,اي في فارما للأدوية,B,52e0aa31-b2fd-4515-b953-a524318799d2
3,2026-07-18,السبت,الفترة الصباحية,7,شركة العابد - فارما,A,801e8daf-8535-415e-b71a-f5d2a054a268
3,2026-07-18,السبت,الفترة المسائية,1,عدينة فارما للأدوية,B,0e8d7667-d9b8-4a4c-893d-2ec5b6b13237
3,2026-07-18,السبت,الفترة المسائية,2,شركة النهدي الطبية,A,39289db2-8a71-45c2-8650-7a83cf094dbe
3,2026-07-18,السبت,الفترة المسائية,3,جوبان فارما,B,6cf2dddf-c441-46ed-aec1-b8fbb7b70a7b
3,2026-07-18,السبت,الفترة المسائية,4,النور للأدوية - التجميل,A,c9b7e001-7c83-47f1-86e4-a4e22f96ed70
3,2026-07-18,السبت,الفترة المسائية,5,شركة سوكر للأدوية,B,6d44b3c1-5d14-48a5-bda8-746fa2b54ee1
3,2026-07-18,السبت,الفترة المسائية,6,شركة الرشيد للأدوية,B,2082ab29-95f2-428a-a759-bc8cae539cfa
3,2026-07-18,السبت,الفترة المسائية,7,شركة شام فارما,B,eb008866-51da-427d-a6cd-42c194b25887
3,2026-07-18,السبت,الفترة المسائية,8,شركة الملك للتجارة,B,02b08283-8aec-4488-833e-6f9fe207cec3
3,2026-07-19,الأحد,الفترة الصباحية,1,التخصصية فارما,A,efdc3ace-c6ef-45d1-9ea7-47925b7c3d91
3,2026-07-19,الأحد,الفترة الصباحية,2,مخازن بلقيس - القسم العربي,A,fe7f09d4-8d61-4d8f-a172-f626502cc485
3,2026-07-19,الأحد,الفترة الصباحية,3,مياس فارما للتجارة,B,dd0f15df-1e01-4cde-b6a0-fe53afd09d18
3,2026-07-19,الأحد,الفترة الصباحية,4,تيبكال ميديكال,B,62f8a37b-a5cb-404d-b24e-d5f9481ac1a0
3,2026-07-19,الأحد,الفترة الصباحية,5,الدواء ميديكال,A,9f61c185-4691-4101-bb4b-7670ebc1192a
3,2026-07-19,الأحد,الفترة الصباحية,6,بيور ديرمالاب,B,ff029cb7-cd76-4fb0-a468-808b336579d0
3,2026-07-19,الأحد,الفترة الصباحية,7,الشركة العالمية - قطاع فارما,A,f3433cb4-2cb9-4950-9796-b36f563080c5
3,2026-07-19,الأحد,الفترة المسائية,1,محدب ميديكال,B,6f335236-b5f8-410e-93a4-33b6db6049e8
3,2026-07-19,الأحد,الفترة المسائية,2,اصرار فارما,A,66bdbd3b-59a8-4d9c-8997-d771abd6f9c1
3,2026-07-19,الأحد,الفترة المسائية,3,مخازن بلقيس - العناية الصحية,A,7427ce0f-a5e8-42bd-9e54-8944e35548d4
3,2026-07-19,الأحد,الفترة المسائية,4,احمد فارما,A,f1ceb8c9-cd9f-4e3c-92ea-a90f3a72abd9
3,2026-07-19,الأحد,الفترة المسائية,5,الأسدين فارما,A,4aa8b2a2-1cb5-403e-bf96-685585fdac3f
3,2026-07-19,الأحد,الفترة المسائية,6,ناتو فارما العالمية,B,8610975e-c80a-496a-9a65-c940c5fc478a
3,2026-07-19,الأحد,الفترة المسائية,7,شركة العابد - سكوت,A,4b815465-999d-4996-b0ae-e973a20d9358
3,2026-07-19,الأحد,الفترة المسائية,8,ليدر فارما للأدوية,B,7be101b3-cc7b-4a4c-8232-c8a07ab9a250
3,2026-07-20,الإثنين,الفترة الصباحية,1,القفلي للأدوية,B,608f251f-effd-483c-a1c9-e230885df129
3,2026-07-20,الإثنين,الفترة الصباحية,2,العيفري للأدوية,A,27127cad-cc73-43cb-b9dd-1c893bdc8c2c
3,2026-07-20,الإثنين,الفترة الصباحية,3,هيلثي فارما,B,02baa3a9-e96a-47f9-8185-218bcf9a2ab2
3,2026-07-20,الإثنين,الفترة الصباحية,4,شركة العابد العابد,A,7f1bc6d5-5107-4c89-85b4-d3f2f3d3f664
3,2026-07-20,الإثنين,الفترة الصباحية,5,شركة لوتن للأدوية,B,edb3e295-e99f-434c-8885-6acf3d28a53d
3,2026-07-20,الإثنين,الفترة الصباحية,6,شركة المحضار اخوان,B,153a0a09-3fcc-4f77-836f-17246a1c1530
3,2026-07-20,الإثنين,الفترة الصباحية,7,مؤسسة المدينة,B,93779a72-7b1e-4541-bfd2-370fe5bb7351
3,2026-07-20,الإثنين,الفترة المسائية,1,شركة اليمان فارما,A,880d0a24-6941-4118-bccd-c88b5a8d5424
3,2026-07-20,الإثنين,الفترة المسائية,2,الجزيرة والخليج,B,c78bb60f-6a81-491a-bc5d-24d7689b1762
3,2026-07-20,الإثنين,الفترة المسائية,3,مؤسسة عبد الفتاح باجمال,B,1416398a-dbdd-4991-9140-e595270f12f4
3,2026-07-20,الإثنين,الفترة المسائية,4,المعالي ميديكال,B,3c635148-2e8c-49bf-9b71-70b533607584
3,2026-07-20,الإثنين,الفترة المسائية,5,شركة الفرقان التجارية,B,c50d9c70-2f57-4db3-869d-6940cb658024
3,2026-07-20,الإثنين,الفترة المسائية,6,الجبل فارما - قسم الحكمة,A,bc313a2a-0fe5-454e-9ad2-5a5135a3256e
3,2026-07-20,الإثنين,الفترة المسائية,7,مدينة سام للتجارة,B,446a8900-d054-4ab6-af84-b7133f6bbb4a
3,2026-07-20,الإثنين,الفترة المسائية,8,وكالة ثمار الوفاء للأدوية,B,e1082a9d-8459-4635-8728-27dbabfe3fd3
3,2026-07-21,الثلاثاء,الفترة الصباحية,1,المفضل فارما - نيو فارما,A,da294ccd-3e4d-402c-ac93-d0de5282c30b
3,2026-07-21,الثلاثاء,الفترة الصباحية,2,صيدلية الهلال 3,A,63057e0f-2006-4072-bf6a-6f8156b8e9fc
3,2026-07-21,الثلاثاء,الفترة الصباحية,3,صيدلية الهلال 2,A,8aba1956-21fc-46c6-ae6d-b10039249edf
3,2026-07-21,الثلاثاء,الفترة الصباحية,4,امبال قسم جلينمارك,A,af7414d0-4edb-425e-a3cf-2b296f5085b7
