week,date,day,shift,slot,legacy_slot,company,tier,company_id
2,2026-07-12,الأحد,الفترة الصباحية,2,2,الدواء ميديكال,B,77563f40-13d3-4837-917d-a6fa8e6f1054
3,2026-07-19,الأحد,الفترة الصباحية,2,2,الدواء ميديكال,B,77563f40-13d3-4837-917d-a6fa8e6f1054
4,2026-07-26,الأحد,الفترة الصباحية,2,2,الدواء ميديكال,B,77563f40-13d3-4837-917d-a6fa8e6f1054
1,2026-07-05,الأحد,الفترة الصباحية,3,3,الغزالي للأدوية,B,dd58cf80-23d8-49ff-bedb-9dc62f4ebeee
2,2026-07-12,الأحد,الفترة الصباحية,3,3,الغزالي للأدوية,B,dd58cf80-23d8-49ff-bedb-9dc62f4ebeee
3,2026-07-19,الأحد,الفترة الصباحية,3,3,الغزالي للأدوية,B,dd58cf80-23d8-49ff-bedb-9dc62f4ebeee
4,2026-07-26,الأحد,الفترة الصباحية,3,3,الغزالي للأدوية,B,dd58cf80-23d8-49ff-bedb-9dc62f4ebeee
1,2026-07-05,الأحد,الفترة الصباحية,4,4,النور جميع الاقسام,A,61bec5ad-5030-48d8-b121-4164f1fc2dad
2,2026-07-12,الأحد,الفترة الصباحية,4,4,النور جميع الاقسام,A,61bec5ad-5030-48d8-b121-4164f1fc2dad
3,2026-07-19,الأحد,الفترة الصباحية,4,4,النور جميع الاقسام,A,61bec5ad-5030-48d8-b121-4164f1fc2dad
4,2026-07-26,الأحد,الفترة الصباحية,4,4,النور جميع الاقسام,A,61bec5ad-5030-48d8-b121-4164f1fc2dad
1,2026-07-05,الأحد,الفترة الصباحية,5,5,جوبان فارما,B,b70d8eeb-13fb-40bb-9b9e-b1ea5fedc547
2,2026-07-12,الأحد,الفترة الصباحية,5,5,جوبان فارما,B,b70d8eeb-13fb-40bb-9b9e-b1ea5fedc547
3,2026-07-19,الأحد,الفترة الصباحية,5,5,جوبان فارما,B,b70d8eeb-13fb-40bb-9b9e-b1ea5fedc547
4,2026-07-26,الأحد,الفترة الصباحية,5,5,جوبان فارما,B,b70d8eeb-13fb-40bb-9b9e-b1ea5fedc547
1,2026-07-05,الأحد,الفترة الصباحية,6,6,شركة إنما فارما,A,49ccf94c-6322-42fa-9129-4725fb3d8d32
